date,revenue,customers,bookings,churn_rate
2024-01-01,48500,1200,145,2.1
2024-01-02,49200,1205,148,2.0
2024-01-03,47800,1198,142,2.2
2024-01-04,51000,1215,155,1.9
2024-01-05,52500,1225,160,1.8
2024-01-06,45000,1180,130,2.3
2024-01-07,44500,1175,128,2.4
2024-01-08,50500,1210,152,2.0
2024-01-09,51200,1218,156,1.9
2024-01-10,52000,1222,158,1.8
2024-01-11,53500,1235,165,1.7
2024-01-12,54000,1240,168,1.6
2024-01-13,46500,1190,135,2.2
2024-01-14,45500,1182,132,2.3
2024-01-15,52500,1228,162,1.8
2024-01-16,53000,1232,164,1.7
2024-01-17,54500,1245,170,1.6
2024-01-18,55000,1250,172,1.5
2024-01-19,56000,1260,178,1.5
2024-01-20,47000,1195,138,2.1
2024-01-21,46000,1188,134,2.2
2024-01-22,54000,1242,168,1.7
2024-01-23,55500,1255,174,1.6
2024-01-24,56500,1265,180,1.5
2024-01-25,57000,1270,182,1.4
2024-01-26,58000,1280,188,1.4
2024-01-27,48500,1200,145,2.0
2024-01-28,47500,1192,140,2.1
2024-01-29,56000,1262,178,1.5
2024-01-30,57500,1275,185,1.4
2024-01-31,58500,1285,190,1.3
2024-02-01,59000,1290,192,1.3
2024-02-02,60000,1300,198,1.2
2024-02-03,50000,1210,150,1.9
2024-02-04,49000,1202,146,2.0
2024-02-05,58000,1282,188,1.4
2024-02-06,59500,1295,195,1.3
2024-02-07,60500,1305,200,1.2
2024-02-08,61000,1310,202,1.2
2024-02-09,62000,1320,208,1.1
2024-02-10,51500,1218,155,1.8
2024-02-11,50500,1212,152,1.9
2024-02-12,60000,1302,198,1.2
2024-02-13,61500,1315,205,1.2
2024-02-14,65000,1350,220,1.0
2024-02-15,63000,1330,212,1.1
2024-02-16,64000,1340,218,1.0
2024-02-17,52000,1225,158,1.8
2024-02-18,51000,1215,154,1.9
2024-02-19,62000,1322,210,1.1
2024-02-20,63500,1335,215,1.1
2024-02-21,64500,1345,222,1.0
2024-02-22,65500,1355,228,0.9
2024-02-23,66000,1360,230,0.9
2024-02-24,53000,1232,162,1.7
2024-02-25,52000,1225,158,1.8
2024-02-26,64000,1342,220,1.0
2024-02-27,65000,1352,225,1.0
2024-02-28,66500,1365,232,0.9
2024-02-29,67000,1370,235,0.9
2024-03-01,68000,1380,240,0.8
2024-03-02,54000,1240,165,1.6
2024-03-03,53000,1235,162,1.7
2024-03-04,66000,1362,232,0.9
2024-03-05,67500,1375,238,0.8
2024-03-06,68500,1385,242,0.8
2024-03-07,69000,1390,245,0.8
2024-03-08,70000,1400,250,0.7
2024-03-09,55000,1250,170,1.5
2024-03-10,54500,1245,168,1.6
2024-03-11,68000,1382,242,0.8
2024-03-12,69500,1395,248,0.7
2024-03-13,70500,1405,252,0.7
2024-03-14,71000,1410,255,0.7
2024-03-15,72000,1420,260,0.6
2024-03-16,56000,1260,175,1.5
2024-03-17,55500,1255,172,1.5
2024-03-18,70000,1402,252,0.7
2024-03-19,71500,1415,258,0.6
2024-03-20,72500,1425,262,0.6
2024-03-21,73000,1430,265,0.6
2024-03-22,74000,1440,270,0.5
2024-03-23,57000,1270,180,1.4
2024-03-24,56500,1265,178,1.4
2024-03-25,72000,1422,262,0.6
2024-03-26,73500,1435,268,0.5
2024-03-27,74500,1445,272,0.5
2024-03-28,75000,1450,275,0.5
2024-03-29,76000,1460,280,0.5
2024-03-30,58000,1280,185,1.3
2024-03-31,57500,1275,182,1.4
