date,revenue,customers,churn_rate,customer_acquisition_cost,customer_lifetime_value,support_tickets,product_a_sales,product_b_sales,product_c_sales
2024-01-01,45000,245,2.1,285,12400,42,12000,18000,15000
2024-01-02,46200,247,2.0,282,12500,38,12300,18500,15400
2024-01-03,47500,250,1.9,280,12650,41,12600,19000,15900
2024-01-04,48100,252,2.1,283,12450,45,12800,18800,16500
2024-01-05,49300,255,2.0,281,12700,39,13100,19200,16000
2024-01-06,50500,258,1.8,279,12900,36,13400,19500,17600
2024-01-07,51200,260,2.2,284,12600,48,13200,19100,18900
2024-01-08,52000,263,2.1,282,12800,42,13600,19800,18600
2024-01-09,53400,265,1.9,280,13000,37,14000,20200,19200
2024-01-10,54800,268,2.0,283,12950,41,14300,20500,19000
2024-01-11,55200,270,2.3,286,12700,50,14100,20100,20900
2024-01-12,56500,273,2.0,281,13100,38,14500,20700,21300
2024-01-13,57300,275,1.9,279,13200,35,14800,21000,21500
2024-01-14,58100,278,2.1,283,13000,44,15000,20800,22300
2024-01-15,59500,281,2.0,282,13150,40,15300,21300,22900
2024-01-16,60200,283,1.8,280,13300,33,15500,21600,23100
2024-01-17,61400,286,2.2,285,13050,49,15700,21900,24200
2024-01-18,62100,288,2.1,283,13200,43,15900,22200,24000
2024-01-19,63500,291,1.9,281,13400,36,16200,22600,24700
2024-01-20,64800,294,2.0,284,13350,41,16500,22900,24500
2024-01-21,65200,296,2.3,287,13100,51,16300,22500,26400
2024-01-22,66500,299,2.0,282,13450,39,16700,23200,26700
2024-01-23,67300,301,1.9,280,13550,34,17000,23500,26800
2024-01-24,68100,304,2.1,284,13350,45,17200,23300,27600
2024-01-25,69500,307,2.0,283,13500,41,17500,23800,28300
2024-01-26,70200,309,1.8,281,13700,32,17700,24100,28500
2024-01-27,71400,312,2.2,286,13450,50,17900,24400,29600
2024-01-28,72100,314,2.1,284,13600,44,18100,24700,29400
2024-01-29,73500,317,1.9,282,13800,37,18400,25100,30100
2024-01-30,74800,320,2.0,285,13750,42,18700,25400,29900
